right_shoulder_x,right_shoulder_y,right_shoulder_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_hip_x,right_hip_y,right_hip_z,left_hip_x,left_hip_y,left_hip_z,right_knee_x,right_knee_y,right_knee_z,left_knee_x,left_knee_y,left_knee_z,right_ankle_x,right_ankle_y,right_ankle_z,left_ankle_x,left_ankle_y,left_ankle_z,right_elbow_x,right_elbow_y,right_elbow_z,left_elbow_x,left_elbow_y,left_elbow_z,right_wrist_x,right_wrist_y,right_wrist_z,left_wrist_x,left_wrist_y,left_wrist_z
0.49347805976867676,0.5051487684249878,0.5574530363082886,0.6327638626098633,0.561169445514679,0.22357811033725739,0.28692373633384705,0.5848848223686218,0.07839450985193253,0.3639632761478424,0.6252662539482117,-0.07851799577474594,0.02802099846303463,0.622694730758667,-0.08998564630746841,0.2964245080947876,0.712022602558136,-0.5817956924438477,0.09784211218357086,0.7021697759628296,0.5087042450904846,0.3389989733695984,0.8440045714378357,-0.3480767011642456,0.4461417496204376,0.4465136229991913,0.7239265441894531,0.7280316948890686,0.4990852475166321,0.012305895797908306,0.45662635564804077,0.36790725588798523,0.7853333950042725,0.7928801774978638,0.4264669120311737,0.0360972061753273
0.49361804127693176,0.5051361918449402,0.543031632900238,0.6326289176940918,0.5610668659210205,0.17773312330245972,0.28693506121635437,0.5848835706710815,0.07818528264760971,0.3636292517185211,0.6252842545509338,-0.07836432009935379,0.030536135658621788,0.6227242946624756,-0.08484231680631638,0.2974635064601898,0.7145736217498779,-0.51953125,0.09840676933526993,0.7020549774169922,0.5738875269889832,0.3389434218406677,0.844209611415863,-0.300300657749176,0.4450100064277649,0.44626447558403015,0.6856273412704468,0.7287052273750305,0.4990345239639282,-0.056389253586530685,0.4553697407245636,0.36793115735054016,0.7051680088043213,0.7927111983299255,0.4263330399990082,-0.05429627373814583
0.49377915263175964,0.5055457949638367,0.5501301288604736,0.6323214173316956,0.5610129237174988,0.1382242888212204,0.28647381067276,0.5850107073783875,0.08120778203010559,0.36265110969543457,0.6252878308296204,-0.08146233856678009,0.031556494534015656,0.6228881478309631,-0.06780403107404709,0.2984161078929901,0.7164332866668701,-0.53742516040802,0.09841810911893845,0.7021764516830444,0.5902885794639587,0.33863940834999084,0.8450673818588257,-0.32506054639816284,0.44546645879745483,0.4463866353034973,0.7068242430686951,0.7288841605186462,0.4991168677806854,-0.09923849254846573,0.4531802833080292,0.3690459430217743,0.7375058531761169,0.7926335334777832,0.4263186752796173,-0.08722905069589615
0.49378836154937744,0.505726158618927,0.6042889952659607,0.6320263743400574,0.5610091686248779,0.2012304663658142,0.28572478890419006,0.5851320624351501,0.0835663229227066,0.3613162636756897,0.6254850625991821,-0.08382300287485123,0.03157075121998787,0.6229220628738403,-0.05240470543503761,0.2987961173057556,0.7177905440330505,-0.5619571208953857,0.09826378524303436,0.7019550204277039,0.5885934233665466,0.3384462893009186,0.8459935784339905,-0.36910560727119446,0.4461558163166046,0.44639426469802856,0.7598180770874023,0.7290138006210327,0.499404639005661,-0.05484484136104584,0.45300865173339844,0.3690471649169922,0.8115634918212891,0.7925060987472534,0.4263184368610382,-0.051877766847610474
0.4938848316669464,0.5059309005737305,0.605559766292572,0.6318875551223755,0.5610057711601257,0.19969236850738525,0.28527042269706726,0.5851410031318665,0.08477065712213516,0.36030298471450806,0.6256914138793945,-0.08500884473323822,0.03163917362689972,0.6228695511817932,-0.04601232707500458,0.29923954606056213,0.7183416485786438,-0.583962082862854,0.09805403649806976,0.7017934322357178,0.5758569836616516,0.3381258547306061,0.8459919691085815,-0.40698474645614624,0.44718801975250244,0.44634076952934265,0.7558623552322388,0.7291985750198364,0.4995707869529724,-0.0715472400188446,0.4528309404850006,0.3690491020679474,0.8051555752754211,0.7924973964691162,0.4262321889400482,-0.08811160922050476
0.49452632665634155,0.5058285593986511,0.5969567894935608,0.6317906975746155,0.560920774936676,0.21694061160087585,0.28529325127601624,0.5851250290870667,0.08366366475820541,0.360272616147995,0.6257302761077881,-0.083887979388237,0.03036080114543438,0.6229089498519897,-0.045641787350177765,0.2997228801250458,0.7182838916778564,-0.588106632232666,0.09724374115467072,0.7013680934906006,0.5621521472930908,0.33737367391586304,0.8449305891990662,-0.4225345551967621,0.44719409942626953,0.44593605399131775,0.7554687857627869,0.7292253971099854,0.49994558095932007,-0.04481038078665733,0.4528449475765228,0.3687390089035034,0.790583610534668,0.7924853563308716,0.42651185393333435,-0.06636026501655579
0.4951619505882263,0.5059179067611694,0.5558986067771912,0.6317472457885742,0.560908854007721,0.17340222001075745,0.28530165553092957,0.5853630900382996,0.08336000144481659,0.36018460988998413,0.6258045434951782,-0.08359593898057938,0.028854796662926674,0.6231431365013123,-0.051917221397161484,0.3002135455608368,0.7188400626182556,-0.5678498148918152,0.09520237892866135,0.7029325366020203,0.5683285593986511,0.3367270827293396,0.8441006541252136,-0.34184351563453674,0.44674134254455566,0.44619089365005493,0.7137997150421143,0.7292736768722534,0.5001373887062073,-0.06455785781145096,0.45285657048225403,0.3687286972999573,0.7429154515266418,0.7924761176109314,0.4267188012599945,-0.06264864653348923
0.4957982897758484,0.5070822238922119,0.7858501076698303,0.6329209208488464,0.5603580474853516,0.35947471857070923,0.2857135832309723,0.5856301188468933,0.09193216264247894,0.36143094301223755,0.6256518959999084,-0.09205854684114456,0.029644189402461052,0.6232917308807373,-0.02032620832324028,0.2998758554458618,0.7178606390953064,-0.5758577585220337,0.09476172178983688,0.7039200067520142,0.5283121466636658,0.3367271423339844,0.844107449054718,-0.42815274000167847,0.44685348868370056,0.4467112421989441,0.9595946073532104,0.7292771339416504,0.5000981688499451,0.10920754820108414,0.4524807929992676,0.36923396587371826,1.077313780784607,0.7924700975418091,0.4259099066257477,0.1621294468641281
0.4958023130893707,0.5078612565994263,0.75795978307724,0.6328424215316772,0.5602139234542847,0.338119238615036,0.28548526763916016,0.5859227776527405,0.09501282125711441,0.36093711853027344,0.6257685422897339,-0.09511494636535645,0.02847815491259098,0.623289167881012,-0.012709933333098888,0.30042681097984314,0.7193228006362915,-0.576407253742218,0.09047392755746841,0.7045513987541199,0.5129128694534302,0.33677810430526733,0.8488592505455017,-0.4506691098213196,0.4475991725921631,0.44672393798828125,0.9318962097167969,0.7291951775550842,0.5001428127288818,0.10426297038793564,0.4530920386314392,0.368918240070343,1.026104211807251,0.792473554611206,0.42596399784088135,0.17135711014270782
0.49581512808799744,0.5080217719078064,0.7440679669380188,0.6332046985626221,0.5598675608634949,0.34957635402679443,0.2855690121650696,0.5859362483024597,0.0946967676281929,0.3610376715660095,0.6250699758529663,-0.0947866290807724,0.030143072828650475,0.6231539249420166,-0.020339129492640495,0.3004128932952881,0.7192808985710144,-0.5571126341819763,0.09090573340654373,0.7048080563545227,0.502133846282959,0.336326003074646,0.8486770391464233,-0.447157621383667,0.4479590654373169,0.44609490036964417,0.8954036235809326,0.7301432490348816,0.49998295307159424,0.1002604067325592,0.45767349004745483,0.3681505620479584,0.9820393919944763,0.7927793264389038,0.42526766657829285,0.13298943638801575
